libjdface.so,1,com.jingdong.app.mall
libvenus.so,3,com.cyberlink.youcammakeup,com.perfectcorp.ycf,video.like
libMFETFHairTracking.so,1,com.modiface.loreal.stylemyhair
libclasses.so,1,com.taobao.taobao
libYSFDWrapper.so,4,com.hefe.pro.editor,com.apus.camera.id,com.bolangdev.poni,com.apusapps.fulakora
libthingsdet.so,2,com.commsource.beautyplus,com.meitu.meiyancamera
libFaceSDK.so,10,com.pic.photoeditor,com.best.photoeditor.beautyeditorpro,cn.jingling.motu.photowonder,com.total.photostudio,com.pic.pipcamera,com.video.chat.spark,com.meet.android,com.accordion.perfectme,com.input.funnykeyboard,com.pic.mycamera
libgraphicsengine-arengineservices-messengereffectservicehost-native.so,1,com.facebook.talk
libchipset.so,1,com.facebook.talk
libtensorflow_inference.so,28,machinelearning.tensorflow.classifier,com.iart.camera.photo,com.roberts.croberts.mantis,pip.face.selfie.beauty.camera.photo.editor,com.concur.breeze,ch.zhaw.facerecognition,com.urbandroid.sleep,horse.schvung.equilab,com.joytunes.simplypiano,com.seefoodtechnologies.nothotdog,com.homesecurity.firstone,com.bitstrips.imoji,org.tensorflow.detect,com.omronhealthcare.omronconnect,machinelearning.tensorflow.speech,com.linecorp.b612.android,com.campmobile.snow,com.infocomltd.ugvassistant,com.fishbrain.app,com.alivecor.aliveecg,com.modiface.loreal.stylemyhair,com.nhn.android.search,com.shutterfly,com.statefarm.pocketagent,co.vero.app,uk.tensorzoom,com.snapchat.android,ai.fritz.heartbeat
libgoogle_speech_micro_jni.so,1,com.google.android.googlequicksearchbox
libBaiduSpeechSDK.so,1,com.baidu.BaiduMap
libbd_etts.so,1,com.baidu.BaiduMap
libj2v8.so,1,com.shutterfly
libopenalpr.so,1,com.abrmobileapp
libmp4operations.so,1,com.facebook.talk
commons-io-2.4.jar,2,com.linecorp.b612.android,com.campmobile.snow
libjingle_peerconnection_so.so,1,com.cyberlink.youcammakeup
