libjdface.so,1,com.jingdong.app.mall
,1,pkgname
libctrip_android_train.so,1,ctrip.android.view
libstidinteractive_liveness.so,1,org.dayup.stocks
libbd_etts.so,1,com.baidu.BaiduMap
libMFETFHairTracking.so,1,com.modiface.loreal.stylemyhair
libSnapCut.so,1,com.snapchat.android
libYSFDWrapper.so,4,com.apusapps.fulakora,com.apus.camera.id,com.bolangdev.poni,com.hefe.pro.editor
libwaze.so,1,com.waze
libthingsdet.so,2,com.commsource.beautyplus,com.meitu.meiyancamera
libFaceSDK.so,12,cn.jingling.motu.photowonder,com.beauty.photoedit.camera.makeup,com.best.photoeditor.beautyeditorpro,com.input.funnykeyboard,com.photo.pipcam.eidtor.camera,com.pic.mycamera,com.pic.photoeditor,com.pic.pipcamera,com.total.photostudio,com.accordion.perfectme,com.meet.android,com.video.chat.spark
libnativeai.so,2,com.eraserphoto.cutout.backgroundeditor,com.photoeditor.imagecutter.cameffect
libgraphicsengine-arengineservices-messengereffectservicehost-native.so,1,com.facebook.talk
libchipset.so,1,com.facebook.talk
libtensorflow_inference.so,33,com.alivecor.aliveecg,com.omronhealthcare.omronconnect,horse.schvung.equilab,com.snapchat.android,com.infocomltd.ugvassistant,com.modiface.loreal.stylemyhair,com.nhn.android.search,com.joytunes.simplypiano,com.cut.cutout.photo.background.editor,com.thmobile.sketchphotomaker,pip.face.selfie.beauty.camera.photo.editor,com.fishbrain.app,com.campmobile.snow,com.linecorp.b612.android,ai.fritz.heartbeat,ch.zhaw.facerecognition,com.homesecurity.firstone,com.roberts.croberts.mantis,com.iart.camera.photo,com.seefoodtechnologies.nothotdog,machinelearning.tensorflow.speech,org.tensorflow.detect,com.statefarm.pocketagent,co.vero.app,com.urbandroid.sleep,uk.tensorzoom,machinelearning.tensorflow.classifier,com.vyroai.AiBlurEditor,cutcut.cut.out.paste.background.remove.photo.cutout,ir.hafhashtad.android780,com.shutterfly,com.bitstrips.imoji,com.concur.breeze
libgoogle_speech_micro_jni.so,1,com.google.android.googlequicksearchbox
libijkffmpeg.so,1,com.huya.nimo
libBaiduSpeechSDK.so,1,com.baidu.BaiduMap
libvenus.so,4,com.senegence.android.senelooks,com.perfectcorp.ycf,com.cyberlink.youcammakeup,video.like
libj2v8.so,1,com.shutterfly
libopenalpr.so,1,com.abrmobileapp
libmp4operations.so,1,com.facebook.talk
commons-io-2.4.jar,2,com.campmobile.snow,com.linecorp.b612.android
libjingle_peerconnection_so.so,2,com.live.videochat.india,com.cyberlink.youcammakeup
libYSFFT.so,4,com.apusapps.fulakora,com.apus.camera.id,com.bolangdev.poni,com.hefe.pro.editor
libavformat-57.so,5,com.camera.galaxyx,com.camera.one.s10.camera,com.camera.s9.camera,com.galaxys.camera4k,com.icameraapple.ioscamera.xscamera.icamera
libtensorflow-android.so,1,com.grammarly.android.keyboard
libnative-lib.so,2,com.campmobile.snow,com.linecorp.b612.android
libeffects-framework_graphics-engineAndroid.so,3,com.facebook.talk,com.instagram.android,com.instagram.igtv
libclasses.so,1,com.taobao.taobao
libmlabmakeup.so,3,com.meitu.makeup,com.mt.mtxx.mtxx,com.meitu.partynow
libctrip_android_train_part.so,1,ctrip.android.view
libjscAndroid.so,2,com.facebook.talk,com.instagram.igtv
libmtphotosegment.so,3,com.meitu.makeup,com.meitu.meiyancamera,com.mt.mtxx.mtxx
libfotobeautyengine.so,9,com.fotoable.cartoon.cam,com.fotoable.enstyle,com.fotoable.faceswap.c403,com.fotoable.fotobeauty,com.fotoable.makeup,com.fotoable.selfieplus,com.fotoable.snapfilters,com.pipcamera.activity,valencia.magic.selfie.makeup.camer.photo.editor
libAgeGender.so,4,com.apusapps.fulakora,com.apus.camera.id,com.bolangdev.poni,com.hefe.pro.editor
libcom.jd.lib.community.so,1,com.jingdong.app.mall
libjni_liveness_interactive.so,1,org.dayup.stocks
libdAvatarDnn.so,1,com.kwai.video
libcaffe2_caffe2_igAndroid.so,2,com.instagram.android,com.instagram.igtv
libst_mobile.so,30,com.commsource.beautyplus,com.meitu.meiyancamera,com.gokoo.hamo,com.campmobile.snow,com.linecorp.b612.android,com.uc.vmate,com.naver.vapp,video.like,com.huya.nimo,com.xingin.xhs,ctrip.android.view,com.pure.camera.detector.road,com.dongby.android.mmshow.inter,com.unico.live,com.littlebee.beauty.selfie.camera,com.asiainno.uplive.yuanfen,com.asiainno.uplive.aiglamour,com.asiainno.uplive,jp.naver.line.android,com.dailyselfie.newlook.studio,com.joeware.android.gpulumera,com.nhn.android.webtoon,com.sina.weibo,com.duowan.supervideo,com.camera.galaxyx,com.camera.one.s10.camera,com.camera.s9.camera,com.galaxys.camera4k,com.icameraapple.ioscamera.xscamera.icamera,com.mico
libyoudaoocr.so,1,com.youdao.hindict
libJavaScriptCore.so,1,com.taobao.taobao
